timestamp,pdu_session_create_request_rate,pdu_session_create_request_success_rate,smf_sessions,n4_establish,upf_inbound_traffic,upf_outbound_traffic,registered_subscribers,pcf_policy_association_requests,pcf_policy_association_requests_success,pcf_policy_association_number,label,slice_id
1725593455.0,0.0,0.0,7.0,0.0,7.0,7.0,29.0,0.0,0.0,0.0,0.0,1-111111
1725593460.0,0.0,0.0,7.0,0.0,7.0,7.0,29.0,0.0,0.0,0.0,0.0,1-111111
1725593465.0,0.0,0.0,7.0,0.0,1.4000000000000001,1.4000000000000001,29.0,0.0,0.0,0.0,0.0,1-111111
1725593531.0,0.0,0.0,4.0,0.8,0.6000000000000001,0.6000000000000001,47.0,0.0,0.0,16.400000000000002,0.0,1-111111
1725593536.0,2.0,2.0,14.0,1.2000000000000002,9.200000000000001,9.200000000000001,47.0,20.0,20.0,2.0,0.0,1-111111
1725593540.0,0.0,0.0,14.0,0.0,10.0,10.0,47.0,0.0,0.0,0.0,0.0,1-111111
1725593545.0,0.0,0.0,14.0,0.0,10.0,10.0,47.0,0.0,0.0,0.0,0.0,1-111111
1725593550.0,0.0,0.0,14.0,0.0,10.0,9.8,47.0,0.0,0.0,0.0,0.0,1-111111
1725593555.0,0.0,0.0,14.0,0.0,10.0,10.0,47.0,0.0,0.0,0.0,0.0,1-111111
1725593560.0,0.0,0.0,14.0,0.0,10.0,10.0,47.0,0.0,0.0,0.0,0.0,1-111111
1725593565.0,0.0,0.0,14.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,1-111111
1725593570.0,0.0,0.0,14.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,1-111111
1725593575.0,0.0,0.0,14.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,1-111111
1725593580.0,0.0,0.0,14.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,1-111111
1725593585.0,0.0,0.0,14.0,0.0,10.0,10.0,47.0,0.0,0.0,0.0,0.0,1-111111
1725593590.0,0.0,0.0,14.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,1-111111
1725593595.0,0.0,0.0,14.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,1-111111
1725593600.0,0.0,0.0,14.0,0.0,10.0,10.0,47.0,0.0,0.0,0.0,0.0,1-111111
1725593605.0,0.0,0.0,14.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,1-111111
1725593610.0,0.0,0.0,14.0,0.0,9.600000000000001,9.600000000000001,49.0,0.0,0.0,0.0,0.0,1-111111
1725593615.0,0.0,0.0,14.0,0.0,5.0,5.0,49.0,0.0,0.0,0.0,0.0,1-111111
